text,lang,filename
Bourgogne map,fr,AOC Bourgogne map.mp3
Bourgogne Chitry,fr,AOC Bourgogne Chitry.mp3
Bourgogne Côte Saint-Jacques,fr,AOC Bourgogne Côte Saint-Jacques.mp3
Bourgogne Côtes d'Auxerre,fr,AOC Bourgogne Côtes d'Auxerre.mp3
Bourgogne Coulanges-la-Vineuse,fr,AOC Bourgogne Coulanges-la-Vineuse.mp3
Bourgogne Epineuil,fr,AOC Bourgogne Epineuil.mp3
Bourgogne Tonnerre,fr,AOC Bourgogne Tonnerre.mp3
Bourgogne Vézelay,fr,AOC Bourgogne Vézelay.mp3
Beaujolais Villages,fr,AOC Beaujolais Villages.mp3
Beaujolais,fr,AOC Beaujolais.mp3
Brouilly,fr,AOC Brouilly.mp3
Chénas,fr,AOC Chénas.mp3
Chiroubles,fr,AOC Chiroubles.mp3
Côte de Brouilly,fr,AOC Côte de Brouilly.mp3
Fleurie,fr,AOC Fleurie.mp3
Juliénas,fr,AOC Juliénas.mp3
Morgon,fr,AOC Morgon.mp3
Moulin-à-Vent,fr,AOC Moulin-à-Vent.mp3
Régnié,fr,AOC Régnié.mp3
Saint-Amour,fr,AOC Saint-Amour.mp3
Chablis,fr,AOC Chablis.mp3
Petit Chablis,fr,AOC Petit Chablis.mp3
Chablis 1er Cru Chaume de Talvat,fr,AOC Chablis 1er Cru Chaume de Talvat.mp3
Chablis 1er Cru Côte de Jouan,fr,AOC Chablis 1er Cru Côte de Jouan.mp3
Chablis 1er Cru Fourchaume,fr,AOC Chablis 1er Cru Fourchaume.mp3
Chablis 1er Cru Les Beauregards,fr,AOC Chablis 1er Cru Les Beauregards.mp3
Chablis 1er Cru Les Fourneaux,fr,AOC Chablis 1er Cru Les Fourneaux.mp3
Chablis 1er Cru Mont de Milieu,fr,AOC Chablis 1er Cru Mont de Milieu.mp3
Chablis 1er Cru Vaucoupin,fr,AOC Chablis 1er Cru Vaucoupin.mp3
Chablis 1er Cru Vaugiraut,fr,AOC Chablis 1er Cru Vaugiraut.mp3
Chablis 1er Cru Vaupulent,fr,AOC Chablis 1er Cru Vaupulent.mp3
Chablis 1er Cru Vosgros,fr,AOC Chablis 1er Cru Vosgros.mp3
Chablis 1er Cru,fr,AOC Chablis 1er Cru.mp3
Chablis Grand Cru Blanchot,fr,AOC Chablis Grand Cru Blanchot.mp3
Chablis Grand Cru Bougros,fr,AOC Chablis Grand Cru Bougros.mp3
Chablis Grand Cru Grenouilles,fr,AOC Chablis Grand Cru Grenouilles.mp3
Chablis Grand Cru Les Clos,fr,AOC Chablis Grand Cru Les Clos.mp3
Chablis Grand Cru Preuses,fr,AOC Chablis Grand Cru Preuses.mp3
Chablis Grand Cru Valmur,fr,AOC Chablis Grand Cru Valmur.mp3
Chablis Grand Cru Vaudésir,fr,AOC Chablis Grand Cru Vaudésir.mp3
Chablis Grand Cru,fr,AOC Chablis Grand Cru.mp3
Domaine William Févre,fr,Domaine William Févre.mp3
Domaine Nathalie et Gilles Fèvre,fr,Domaine Nathalie et Gilles Fèvre.mp3
Vignobles Dampt Frères,fr,Vignobles Dampt Frères.mp3
Jean et Sébastien Dauvissat,fr,Jean et Sébastien Dauvissat.mp3
Domaine Servin,fr,Domaine Servin.mp3
Domaine Vincent Dauvissat,fr,Domaine Vincent Dauvissat.mp3
Domaine Baillard,fr,Domaine Baillard.mp3
Domaine Roy,fr,Domaine Roy.mp3
Domaine Billaud-Simon,fr,Domaine Billaud-Simon.mp3
Domaine Long-Depaquit,fr,Domaine Long-Depaquit.mp3
Maison Simonnet-Febvre,fr,Maison Simonnet-Febvre.mp3
Domaine Joseph Drouhin,fr,Domaine Joseph Drouhin.mp3
EARL Allindre,fr,EARL Allindre.mp3
Domaine Brocard,fr,Domaine Brocard.mp3
Bourgogne Côte Chalonnaise,fr,AOC Bourgogne Côte Chalonnaise.mp3
Bourgogne Côtes du Couchois,fr,AOC Bourgogne Côtes du Couchois.mp3
Bouzeron,fr,AOC Bouzeron.mp3
Rully,fr,AOC Rully.mp3
Rully 1er Cru Agneux,fr,AOC Rully 1er Cru Agneux.mp3
Rully 1er Cru Champs Cloux,fr,AOC Rully 1er Cru Champs Cloux.mp3
Rully 1er Cru Chapitre,fr,AOC Rully 1er Cru Chapitre.mp3
Rully 1er Cru Clos du Chaigne,fr,AOC Rully 1er Cru Clos du Chaigne.mp3
Rully 1er Cru Clos St Jacques,fr,AOC Rully 1er Cru Clos St Jacques.mp3
Rully 1er Cru Cloux,fr,AOC Rully 1er Cru Cloux.mp3
Rully 1er Cru Grésigny,fr,AOC Rully 1er Cru Grésigny.mp3
Rully 1er Cru La Bressande,fr,AOC Rully 1er Cru La Bressande.mp3
Rully 1er Cru La Fosse,fr,AOC Rully 1er Cru La Fosse.mp3
Rully 1er Cru La Pucelle,fr,AOC Rully 1er Cru La Pucelle.mp3
Rully 1er Cru La Renarde,fr,AOC Rully 1er Cru La Renarde.mp3
Rully 1er Cru Le Meix Cadot,fr,AOC Rully 1er Cru Le Meix Cadot.mp3
Rully 1er Cru Le Meix Caillet,fr,AOC Rully 1er Cru Le Meix Caillet.mp3
Rully 1er Cru Les Pierres,fr,AOC Rully 1er Cru Les Pierres.mp3
Rully 1er Cru Margotés,fr,AOC Rully 1er Cru Margotés.mp3
Rully 1er Cru Marissou,fr,AOC Rully 1er Cru Marissou.mp3
Rully 1er Cru Molesme,fr,AOC Rully 1er Cru Molesme.mp3
Rully 1er Cru Montpalais,fr,AOC Rully 1er Cru Montpalais.mp3
Rully 1er Cru Pillot,fr,AOC Rully 1er Cru Pillot.mp3
Rully 1er Cru Préaux,fr,AOC Rully 1er Cru Préaux.mp3
Rully 1er Cru Rabourcé,fr,AOC Rully 1er Cru Rabourcé.mp3
Rully 1er Cru Raclot,fr,AOC Rully 1er Cru Raclot.mp3
Rully 1er Cru Vauvry,fr,AOC Rully 1er Cru Vauvry.mp3
Rully 1er Cru,fr,AOC Rully 1er Cru.mp3
Mercurey,fr,AOC Mercurey.mp3
Mercurey 1er Cru Clos de Paradis,fr,AOC Mercurey 1er Cru Clos de Paradis.mp3
Mercurey 1er Cru Clos des Barraults,fr,AOC Mercurey 1er Cru Clos des Barraults.mp3
Mercurey 1er Cru Clos des grands Voyens,fr,AOC Mercurey 1er Cru Clos des grands Voyens.mp3
Mercurey 1er Cru Clos des Montaigus,fr,AOC Mercurey 1er Cru Clos des Montaigus.mp3
Mercurey 1er Cru Clos des Myglands,fr,AOC Mercurey 1er Cru Clos des Myglands.mp3
Mercurey 1er Cru Clos du Château de Montaigu,fr,AOC Mercurey 1er Cru Clos du Château de Montaigu.mp3
